[2026/05/11 00:54:19] - Epoch    lr      Time    TrainLoss       TrainACC        PoisonLoss       PoisonACC       CleanLoss       CleanACC
[2026/05/11 00:54:44] - 1        0.100   24.4    2.2240          0.2386          2.2191  0.1702   1.7053          0.3484
[2026/05/11 00:55:08] - 2        0.100   24.5    1.6271          0.3908          2.7768          0.0471          1.5546          0.4233
[2026/05/11 00:55:32] - 3        0.100   24.0    1.4242          0.4820          2.9108          0.0417          1.3976          0.5169
[2026/05/11 00:55:57] - 4        0.100   24.4    1.2603          0.5516          2.2605          0.1256          1.1890          0.5768
[2026/05/11 00:56:21] - 5        0.100   24.4    1.1250          0.6057          2.7220          0.0780          1.0484          0.6378
[2026/05/11 00:56:45] - 6        0.100   24.1    1.0056          0.6527          2.5748          0.0589          0.9465          0.6785
[2026/05/11 00:57:09] - 7        0.100   24.2    0.9156          0.6860          2.7715          0.0426          0.9722          0.6712
[2026/05/11 00:57:33] - 8        0.100   24.0    0.8315          0.7184          2.0509          0.2068          0.7962          0.7247
[2026/05/11 00:57:57] - 9        0.100   23.9    0.7078          0.7631          0.0533          0.9827          0.8089          0.7340
[2026/05/11 00:58:21] - 10       0.100   24.0    0.6309          0.7884          0.0029          0.9993          0.7263          0.7619
[2026/05/11 00:58:45] - 11       0.100   23.9    0.5879          0.8058          0.0004          1.0000          0.6124          0.7911
[2026/05/11 00:59:09] - 12       0.100   23.8    0.5486          0.8202          0.0005          1.0000          0.6886          0.7734
[2026/05/11 00:59:33] - 13       0.100   23.8    0.5309          0.8248          0.0000          1.0000          0.6456          0.7912
[2026/05/11 00:59:57] - 14       0.100   23.8    0.4902          0.8397          0.0000          1.0000          0.6126          0.7941
[2026/05/11 01:00:20] - 15       0.100   23.9    0.4796          0.8447          0.0000          1.0000          0.5491          0.8214
[2026/05/11 01:00:44] - 16       0.100   23.9    0.4605          0.8504          0.0006          1.0000          0.5600          0.8179
[2026/05/11 01:01:08] - 17       0.100   23.9    0.4426          0.8572          0.0000          1.0000          0.4870          0.8396
[2026/05/11 01:01:32] - 18       0.100   23.8    0.4263          0.8618          0.0000          1.0000          0.7240          0.7720
[2026/05/11 01:01:56] - 19       0.100   23.8    0.4181          0.8666          0.0000          1.0000          0.7078          0.7717
[2026/05/11 01:02:20] - 20       0.100   23.9    0.4069          0.8702          0.0000          1.0000          0.5497          0.8216
[2026/05/11 01:02:44] - 21       0.100   23.8    0.3970          0.8733          0.0002          1.0000          0.4955          0.8357
[2026/05/11 01:03:07] - 22       0.100   23.9    0.3860          0.8767          0.0013          1.0000          0.6060          0.8092
[2026/05/11 01:03:31] - 23       0.100   23.9    0.3811          0.8776          0.0000          1.0000          0.4721          0.8444
[2026/05/11 01:03:55] - 24       0.100   23.8    0.3772          0.8787          0.0001          1.0000          0.4530          0.8542
[2026/05/11 01:04:19] - 25       0.100   23.9    0.3674          0.8820          0.0004          1.0000          0.4589          0.8457
[2026/05/11 01:04:43] - 26       0.100   23.9    0.3650          0.8837          0.0001          1.0000          0.4860          0.8422
[2026/05/11 01:05:07] - 27       0.100   23.8    0.3579          0.8864          0.0006          1.0000          0.4801          0.8442
[2026/05/11 01:05:31] - 28       0.100   23.9    0.3457          0.8904          0.0000          1.0000          0.4710          0.8463
[2026/05/11 01:05:55] - 29       0.100   24.0    0.3452          0.8915          0.0000          1.0000          0.6907          0.7879
[2026/05/11 01:06:19] - 30       0.100   24.0    0.3438          0.8907          0.0000          1.0000          0.6045          0.8028
[2026/05/11 01:06:42] - 31       0.010   23.9    0.2287          0.9322          0.0000          1.0000          0.2553          0.9149
[2026/05/11 01:07:06] - 32       0.010   23.9    0.1843          0.9474          0.0000          1.0000          0.2434          0.9199
[2026/05/11 01:07:30] - 33       0.010   23.9    0.1680          0.9526          0.0000          1.0000          0.2353          0.9220
[2026/05/11 01:07:54] - 34       0.010   23.9    0.1595          0.9554          0.0000          1.0000          0.2378          0.9236
[2026/05/11 01:08:18] - 35       0.010   23.8    0.1505          0.9589          0.0000          1.0000          0.2430          0.9225
[2026/05/11 01:08:42] - 36       0.010   23.9    0.1412          0.9616          0.0000          1.0000          0.2481          0.9227
[2026/05/11 01:09:06] - 37       0.010   24.0    0.1404          0.9620          0.0000          1.0000          0.2456          0.9231
[2026/05/11 01:09:30] - 38       0.010   23.9    0.1326          0.9647          0.0000          1.0000          0.2517          0.9236
[2026/05/11 01:09:54] - 39       0.010   23.8    0.1242          0.9667          0.0000          1.0000          0.2596          0.9254
[2026/05/11 01:10:17] - 40       0.010   23.8    0.1150          0.9701          0.0000          1.0000          0.2555          0.9262
[2026/05/11 01:10:41] - 41       0.001   23.9    0.1116          0.9708          0.0000          1.0000          0.2474          0.9288
[2026/05/11 01:11:05] - 42       0.001   23.9    0.1065          0.9728          0.0000          1.0000          0.2460          0.9287
[2026/05/11 01:11:29] - 43       0.001   24.0    0.1053          0.9730          0.0000          1.0000          0.2444          0.9290
[2026/05/11 01:11:53] - 44       0.001   23.9    0.1034          0.9740          0.0000          1.0000          0.2458          0.9293
[2026/05/11 01:12:17] - 45       0.001   23.9    0.1015          0.9751          0.0000          1.0000          0.2486          0.9296
[2026/05/11 01:12:41] - 46       0.001   23.9    0.1004          0.9751          0.0000          1.0000          0.2490          0.9289
[2026/05/11 01:13:05] - 47       0.001   23.9    0.1011          0.9754          0.0000          1.0000          0.2485          0.9298
[2026/05/11 01:13:29] - 48       0.001   23.9    0.0984          0.9754          0.0000          1.0000          0.2472          0.9298
[2026/05/11 01:13:52] - 49       0.001   23.8    0.1014          0.9742          0.0000          1.0000          0.2505          0.9300
