[2026/05/11 01:34:26] - Epoch    lr      Time    TrainLoss       TrainACC        PoisonLoss      PoisonACC       CleanLoss       CleanACC
[2026/05/11 01:34:50] - 1        0.100   24.8    2.0441          0.2857          1.6437          0.3946          1.6437          0.3946
[2026/05/11 01:35:15] - 2        0.100   24.2    1.5471          0.4260          1.4774          0.4540          1.4774          0.4540
[2026/05/11 01:35:39] - 3        0.100   24.3    1.3252          0.5178          1.2437          0.5469          1.2437          0.5469
[2026/05/11 01:36:03] - 4        0.100   24.2    1.1194          0.5981          1.2113          0.5888          1.2113          0.5888
[2026/05/11 01:36:27] - 5        0.100   24.2    0.9707          0.6548          1.0486          0.6334          1.0486          0.6334
[2026/05/11 01:36:52] - 6        0.100   24.2    0.8634          0.6947          0.8921          0.6865          0.8921          0.6865
[2026/05/11 01:37:16] - 7        0.100   24.3    0.7825          0.7236          0.8043          0.7211          0.8043          0.7211
[2026/05/11 01:37:40] - 8        0.100   24.2    0.6834          0.7608          0.8272          0.7235          0.8272          0.7235
[2026/05/11 01:38:04] - 9        0.100   24.1    0.6173          0.7848          0.7230          0.7548          0.7230          0.7548
[2026/05/11 01:38:28] - 10       0.100   24.1    0.5530          0.8077          0.7416          0.7453          0.7416          0.7453
[2026/05/11 01:38:53] - 11       0.100   24.1    0.5117          0.8216          0.5628          0.8030          0.5628          0.8030
[2026/05/11 01:39:17] - 12       0.100   24.1    0.4833          0.8334          0.8740          0.7301          0.8740          0.7301
[2026/05/11 01:39:41] - 13       0.100   24.1    0.4474          0.8442          0.5542          0.8115          0.5542          0.8115
[2026/05/11 01:40:05] - 14       0.100   24.3    0.4164          0.8557          0.5510          0.8212          0.5510          0.8212
[2026/05/11 01:40:29] - 15       0.100   24.3    0.4005          0.8628          0.5827          0.8148          0.5827          0.8148
[2026/05/11 01:40:54] - 16       0.100   24.3    0.3780          0.8676          0.4725          0.8444          0.4725          0.8444
[2026/05/11 01:41:18] - 17       0.100   24.3    0.3620          0.8762          0.5337          0.8237          0.5337          0.8237
[2026/05/11 01:41:42] - 18       0.100   24.3    0.3447          0.8814          0.5206          0.8284          0.5206          0.8284
[2026/05/11 01:42:06] - 19       0.100   24.2    0.3383          0.8831          0.4698          0.8468          0.4698          0.8468
[2026/05/11 01:42:31] - 20       0.100   24.2    0.3261          0.8864          0.4651          0.8471          0.4651          0.8471
[2026/05/11 01:42:55] - 21       0.100   24.3    0.3250          0.8865          0.5262          0.8297          0.5262          0.8297
[2026/05/11 01:43:19] - 22       0.100   24.2    0.3170          0.8904          0.5552          0.8227          0.5552          0.8227
[2026/05/11 01:43:43] - 23       0.100   24.2    0.3059          0.8938          0.5849          0.8180          0.5849          0.8180
[2026/05/11 01:44:07] - 24       0.100   24.2    0.3039          0.8952          0.4736          0.8414          0.4736          0.8414
[2026/05/11 01:44:32] - 25       0.100   24.2    0.2904          0.9000          0.5644          0.8170          0.5644          0.8170
[2026/05/11 01:44:56] - 26       0.100   24.2    0.2882          0.8992          0.5608          0.8259          0.5608          0.8259
[2026/05/11 01:45:20] - 27       0.100   24.2    0.2870          0.9008          0.5458          0.8227          0.5458          0.8227
[2026/05/11 01:45:44] - 28       0.100   24.2    0.2747          0.9052          0.5149          0.8258          0.5149          0.8258
[2026/05/11 01:46:09] - 29       0.100   24.2    0.2713          0.9060          0.3979          0.8660          0.3979          0.8660
[2026/05/11 01:46:33] - 30       0.100   24.2    0.2636          0.9083          0.5860          0.8245          0.5860          0.8245
[2026/05/11 01:46:57] - 31       0.010   24.2    0.1568          0.9476          0.2367          0.9186          0.2367          0.9186
[2026/05/11 01:47:21] - 32       0.010   24.1    0.1116          0.9638          0.2287          0.9221          0.2287          0.9221
[2026/05/11 01:47:45] - 33       0.010   24.2    0.0954          0.9690          0.2300          0.9236          0.2300          0.9236
[2026/05/11 01:48:10] - 34       0.010   24.3    0.0839          0.9730          0.2297          0.9257          0.2297          0.9257
[2026/05/11 01:48:34] - 35       0.010   24.2    0.0751          0.9766          0.2296          0.9260          0.2296          0.9260
[2026/05/11 01:48:58] - 36       0.010   24.3    0.0675          0.9792          0.2325          0.9263          0.2325          0.9263
[2026/05/11 01:49:22] - 37       0.010   24.2    0.0618          0.9806          0.2333          0.9282          0.2333          0.9282
[2026/05/11 01:49:47] - 38       0.010   24.2    0.0542          0.9834          0.2357          0.9275          0.2357          0.9275
[2026/05/11 01:50:11] - 39       0.010   24.2    0.0479          0.9856          0.2399          0.9293          0.2399          0.9293
[2026/05/11 01:50:35] - 40       0.010   24.3    0.0443          0.9860          0.2389          0.9269          0.2389          0.9269
[2026/05/11 01:50:59] - 41       0.001   24.2    0.0355          0.9900          0.2316          0.9303          0.2316          0.9303
[2026/05/11 01:51:23] - 42       0.001   24.3    0.0334          0.9903          0.2295          0.9319          0.2295          0.9319
[2026/05/11 01:51:48] - 43       0.001   24.2    0.0316          0.9912          0.2299          0.9318          0.2299          0.9318
[2026/05/11 01:52:12] - 44       0.001   24.2    0.0305          0.9916          0.2306          0.9323          0.2306          0.9323
[2026/05/11 01:52:36] - 45       0.001   24.1    0.0303          0.9918          0.2327          0.9317          0.2327          0.9317
