[2026/05/11 09:19:55] - Epoch    lr      Time    TrainLoss       TrainACC        PoisonLoss      PoisonACC       CleanLoss       CleanACC
[2026/05/11 09:20:19] - 1        0.100   24.2    2.1375          0.2738          0.0000          1.0000          1.8220          0.3401
[2026/05/11 09:20:43] - 2        0.100   23.5    1.5752          0.4112          0.0003          1.0000          1.5320          0.4209
[2026/05/11 09:21:06] - 3        0.100   23.5    1.3815          0.4897          0.0041          1.0000          1.3662          0.5138
[2026/05/11 09:21:30] - 4        0.100   23.5    1.2314          0.5494          0.0058          1.0000          1.1788          0.5711
[2026/05/11 09:21:53] - 5        0.100   23.5    1.0719          0.6130          0.0000          1.0000          1.1017          0.6080
[2026/05/11 09:22:17] - 6        0.100   23.5    0.9396          0.6638          0.0039          1.0000          1.0430          0.6349
[2026/05/11 09:22:40] - 7        0.100   23.4    0.8493          0.7004          0.0000          1.0000          0.9982          0.6524
[2026/05/11 09:23:04] - 8        0.100   23.4    0.7636          0.7283          0.0092          1.0000          0.8230          0.7156
[2026/05/11 09:23:27] - 9        0.100   23.6    0.6995          0.7526          0.0006          1.0000          0.7920          0.7210
[2026/05/11 09:23:51] - 10       0.100   23.4    0.6302          0.7788          0.0000          1.0000          0.7831          0.7326
[2026/05/11 09:24:16] - 11       0.100   25.6    0.5717          0.7988          0.0005          1.0000          0.7329          0.7500
[2026/05/11 09:24:42] - 12       0.100   25.2    0.5336          0.8154          0.0001          1.0000          0.6544          0.7710
[2026/05/11 09:25:07] - 13       0.100   25.1    0.4824          0.8329          0.0000          1.0000          0.6528          0.7826
[2026/05/11 09:25:30] - 14       0.100   23.3    0.4620          0.8401          0.0005          1.0000          0.5592          0.8092
[2026/05/11 09:25:53] - 15       0.100   23.2    0.4352          0.8487          0.0000          1.0000          0.5239          0.8224
[2026/05/11 09:26:16] - 16       0.100   23.2    0.4117          0.8555          0.0013          1.0000          0.5495          0.8145
[2026/05/11 09:26:40] - 17       0.100   23.2    0.4003          0.8607          0.0011          1.0000          0.5672          0.8052
[2026/05/11 09:27:03] - 18       0.100   23.2    0.3792          0.8697          0.0003          1.0000          0.4666          0.8386
[2026/05/11 09:27:26] - 19       0.100   23.3    0.3555          0.8759          0.0141          1.0000          0.4641          0.8378
[2026/05/11 09:27:49] - 20       0.100   23.3    0.3569          0.8759          0.0000          1.0000          0.5122          0.8303
[2026/05/11 09:28:14] - 21       0.100   24.8    0.3326          0.8846          0.0000          1.0000          0.5923          0.8126
[2026/05/11 09:28:38] - 22       0.100   23.5    0.3300          0.8846          2.5735          0.0000          0.5668          0.8181
[2026/05/11 09:29:01] - 23       0.100   23.3    0.3218          0.8900          0.0000          1.0000          0.4718          0.8393
[2026/05/11 09:29:26] - 24       0.100   25.2    0.3103          0.8918          0.0001          1.0000          0.4907          0.8334
[2026/05/11 09:29:52] - 25       0.100   25.4    0.3054          0.8949          0.0033          1.0000          0.4411          0.8534
[2026/05/11 09:30:17] - 26       0.100   25.1    0.3005          0.8956          0.0001          1.0000          0.5408          0.8176
[2026/05/11 09:30:44] - 27       0.100   26.9    0.2895          0.8999          0.0045          1.0000          0.4615          0.8460
[2026/05/11 09:31:11] - 28       0.100   27.2    0.2820          0.9021          0.0010          1.0000          0.5060          0.8279
[2026/05/11 09:31:39] - 29       0.100   27.9    0.2798          0.9046          0.0000          1.0000          0.4792          0.8422
[2026/05/11 09:32:06] - 30       0.100   27.1    0.2709          0.9072          0.0004          1.0000          0.5165          0.8389
[2026/05/11 09:32:34] - 31       0.010   28.5    0.1638          0.9447          0.0002          1.0000          0.2664          0.9080
[2026/05/11 09:33:02] - 32       0.010   27.5    0.1214          0.9605          0.0004          1.0000          0.2513          0.9146
[2026/05/11 09:33:29] - 33       0.010   27.1    0.1006          0.9676          0.0002          1.0000          0.2456          0.9186
[2026/05/11 09:33:57] - 34       0.010   28.3    0.0890          0.9709          0.0002          1.0000          0.2493          0.9193
[2026/05/11 09:34:25] - 35       0.010   28.2    0.0819          0.9735          0.0001          1.0000          0.2489          0.9218
[2026/05/11 09:34:53] - 36       0.010   27.7    0.0723          0.9768          0.0001          1.0000          0.2508          0.9194
[2026/05/11 09:35:21] - 37       0.010   27.7    0.0685          0.9780          0.0002          1.0000          0.2534          0.9215
[2026/05/11 09:35:49] - 38       0.010   28.6    0.0627          0.9796          0.0001          1.0000          0.2521          0.9207
[2026/05/11 09:36:18] - 39       0.010   28.1    0.0550          0.9827          0.0001          1.0000          0.2609          0.9210
[2026/05/11 09:36:46] - 40       0.010   28.8    0.0499          0.9846          0.0001          1.0000          0.2612          0.9212
[2026/05/11 09:37:14] - 41       0.001   27.7    0.0411          0.9876          0.0002          1.0000          0.2527          0.9237
[2026/05/11 09:37:42] - 42       0.001   27.6    0.0376          0.9893          0.0002          1.0000          0.2524          0.9239
[2026/05/11 09:38:09] - 43       0.001   27.2    0.0382          0.9882          0.0002          1.0000          0.2507          0.9226
[2026/05/11 09:38:36] - 44       0.001   27.4    0.0357          0.9899          0.0002          1.0000          0.2514          0.9236
[2026/05/11 09:39:04] - 45       0.001   27.8    0.0350          0.9904          0.0002          1.0000          0.2515          0.9237
[2026/05/11 09:39:32] - 46       0.001   27.5    0.0337          0.9905          0.0002          1.0000          0.2513          0.9232
[2026/05/11 09:39:59] - 47       0.001   27.2    0.0336          0.9911          0.0002          1.0000          0.2516          0.9237
[2026/05/11 09:40:26] - 48       0.001   27.1    0.0328          0.9912          0.0002          1.0000          0.2520          0.9235
[2026/05/11 09:40:53] - 49       0.001   27.4    0.0320          0.9916          0.0001          1.0000          0.2527          0.9251
