[2026/05/12 15:10:16] - Epoch    lr      Time    TrainLoss       TrainACC        PoisonLoss      PoisonACC       CleanLoss       CleanACC
[2026/05/12 15:10:41] - 1        0.100   25.1    2.0280          0.2887          3.5834          0.0432          1.6224          0.3997
[2026/05/12 15:11:06] - 2        0.100   24.5    1.4944          0.4487          4.1068          0.0931          1.4688          0.4608
[2026/05/12 15:11:31] - 3        0.100   24.8    1.2554          0.5436          5.8237          0.0183          1.1275          0.5919
[2026/05/12 15:11:55] - 4        0.100   24.2    1.0552          0.6216          5.3287          0.0400          0.9838          0.6494
[2026/05/12 15:12:19] - 5        0.100   24.1    0.9141          0.6740          5.2886          0.0423          0.9179          0.6729
[2026/05/12 15:12:43] - 6        0.100   24.5    0.8042          0.7188          5.3670          0.0748          1.0180          0.6535
[2026/05/12 15:13:08] - 7        0.100   24.5    0.7109          0.7516          5.4012          0.0499          0.7596          0.7363
[2026/05/12 15:13:32] - 8        0.100   24.3    0.6228          0.7828          6.5773          0.0214          0.9042          0.7043
[2026/05/12 15:13:57] - 9        0.100   24.7    0.5592          0.8054          5.3992          0.0883          0.6219          0.7838
[2026/05/12 15:14:22] - 10       0.100   24.8    0.5109          0.8239          4.2772          0.1800          0.8025          0.7407
[2026/05/12 15:14:47] - 11       0.100   24.9    0.4718          0.8374          3.8811          0.3117          0.6913          0.7694
[2026/05/12 15:15:12] - 12       0.100   24.9    0.4385          0.8485          1.6508          0.5816          0.6082          0.8073
[2026/05/12 15:15:36] - 13       0.100   24.5    0.4069          0.8587          1.0097          0.7052          0.5005          0.8275
[2026/05/12 15:16:01] - 14       0.100   24.8    0.3842          0.8684          1.1549          0.7019          0.4903          0.8349
[2026/05/12 15:16:26] - 15       0.100   24.8    0.3711          0.8728          2.2372          0.4923          0.5172          0.8298
[2026/05/12 15:16:50] - 16       0.100   24.9    0.3603          0.8767          0.4104          0.8596          0.6630          0.7774
[2026/05/12 15:17:15] - 17       0.100   24.3    0.3465          0.8801          0.3622          0.8779          0.6378          0.7989
[2026/05/12 15:17:39] - 18       0.100   24.7    0.3327          0.8863          3.0371          0.3439          0.5050          0.8331
[2026/05/12 15:18:04] - 19       0.100   24.3    0.3299          0.8866          3.5387          0.3009          0.4940          0.8381
[2026/05/12 15:18:28] - 20       0.100   24.7    0.3170          0.8918          2.1720          0.5542          0.4731          0.8428
[2026/05/12 15:18:53] - 21       0.100   24.7    0.3057          0.8957          0.4997          0.8712          0.6316          0.7977
[2026/05/12 15:19:18] - 22       0.100   24.4    0.3019          0.8955          2.8601          0.3868          0.5864          0.8153
[2026/05/12 15:19:42] - 23       0.100   24.3    0.2893          0.8996          0.2382          0.9212          0.4336          0.8543
[2026/05/12 15:20:07] - 24       0.100   24.6    0.2935          0.8977          1.0491          0.7086          0.5529          0.8271
[2026/05/12 15:20:31] - 25       0.100   24.4    0.2831          0.9007          2.1174          0.5413          0.5419          0.8243
[2026/05/12 15:20:56] - 26       0.100   24.7    0.2814          0.9032          0.5308          0.8634          0.5615          0.8145
[2026/05/12 15:21:20] - 27       0.100   24.4    0.2676          0.9074          1.0273          0.7198          0.6409          0.8036
[2026/05/12 15:21:44] - 28       0.100   24.4    0.2690          0.9072          0.6727          0.8186          0.5750          0.8264
[2026/05/12 15:22:09] - 29       0.100   24.4    0.2592          0.9106          2.1975          0.5203          0.4230          0.8562
[2026/05/12 15:22:33] - 30       0.100   24.2    0.2572          0.9122          1.3935          0.6557          0.3805          0.8719
[2026/05/12 15:22:57] - 31       0.010   24.3    0.1471          0.9523          0.7267          0.7777          0.2246          0.9192
[2026/05/12 15:23:22] - 32       0.010   24.3    0.1073          0.9655          0.8681          0.7407          0.2155          0.9248
[2026/05/12 15:23:46] - 33       0.010   24.2    0.0911          0.9703          0.5295          0.8257          0.2141          0.9286
[2026/05/12 15:24:10] - 34       0.010   24.2    0.0762          0.9758          0.5673          0.8061          0.2157          0.9285
[2026/05/12 15:24:34] - 35       0.010   24.2    0.0682          0.9778          0.6499          0.7838          0.2213          0.9283
[2026/05/12 15:24:58] - 36       0.010   24.2    0.0618          0.9801          0.6576          0.7727          0.2224          0.9301
[2026/05/12 15:25:23] - 37       0.010   24.2    0.0543          0.9829          0.5492          0.8061          0.2248          0.9286
[2026/05/12 15:25:47] - 38       0.010   24.2    0.0495          0.9845          0.4141          0.8472          0.2332          0.9277
[2026/05/12 15:26:11] - 39       0.010   24.2    0.0453          0.9857          0.3074          0.8877          0.2354          0.9287
[2026/05/12 15:26:35] - 40       0.010   24.2    0.0398          0.9882          0.3472          0.8653          0.2426          0.9304
[2026/05/12 15:26:59] - 41       0.001   24.2    0.0325          0.9902          0.4407          0.8349          0.2285          0.9334
[2026/05/12 15:27:24] - 42       0.001   24.2    0.0288          0.9919          0.3079          0.8822          0.2283          0.9338
[2026/05/12 15:27:48] - 43       0.001   24.2    0.0276          0.9930          0.3156          0.8789          0.2289          0.9338
[2026/05/12 15:28:12] - 44       0.001   24.1    0.0277          0.9927          0.3025          0.8842          0.2271          0.9333
[2026/05/12 15:28:36] - 45       0.001   24.1    0.0275          0.9926          0.2926          0.8886          0.2277          0.9334
[2026/05/12 15:29:01] - 46       0.001   24.8    0.0265          0.9931          0.2829          0.8861          0.2281          0.9337
